Municipios;Fenómeno demográfico;Total
07057 Santanyí;matrimonios por el lugar en que han fijado residencia;23
07057 Santanyí;fallecidos por el lugar de residencia;128
07057 Santanyí;crecimiento vegetativo;-42
07058 Selva;nacidos vivos por residencia materna;33
07058 Selva;muertes fetales tardías por residencia materna;0
07058 Selva;matrimonios por el lugar en que han fijado residencia;14
07058 Selva;fallecidos por el lugar de residencia;28
07058 Selva;crecimiento vegetativo;5
07047 Sencelles;nacidos vivos por residencia materna;28
07047 Sencelles;muertes fetales tardías por residencia materna;0
07047 Sencelles;matrimonios por el lugar en que han fijado residencia;11
07047 Sencelles;fallecidos por el lugar de residencia;31
07047 Sencelles;crecimiento vegetativo;-3
07060 Sineu;nacidos vivos por residencia materna;32
07060 Sineu;muertes fetales tardías por residencia materna;0
07060 Sineu;matrimonios por el lugar en que han fijado residencia;6
07060 Sineu;fallecidos por el lugar de residencia;43
07060 Sineu;crecimiento vegetativo;-11
07061 Sóller;nacidos vivos por residencia materna;94
07061 Sóller;muertes fetales tardías por residencia materna;0
07061 Sóller;matrimonios por el lugar en que han fijado residencia;33
07061 Sóller;fallecidos por el lugar de residencia;131
07061 Sóller;crecimiento vegetativo;-37
07062 Son Servera;nacidos vivos por residencia materna;104
07062 Son Servera;muertes fetales tardías por residencia materna;0
07062 Son Servera;matrimonios por el lugar en que han fijado residencia;32
07062 Son Servera;fallecidos por el lugar de residencia;91
07062 Son Servera;crecimiento vegetativo;13
07063 Valldemossa;nacidos vivos por residencia materna;13
07063 Valldemossa;muertes fetales tardías por residencia materna;0
07063 Valldemossa;matrimonios por el lugar en que han fijado residencia;4
07063 Valldemossa;fallecidos por el lugar de residencia;17
07063 Valldemossa;crecimiento vegetativo;-4
07065 Vilafranca de Bonany;nacidos vivos por residencia materna;49
07065 Vilafranca de Bonany;muertes fetales tardías por residencia materna;0
07065 Vilafranca de Bonany;matrimonios por el lugar en que han fijado residencia;7
07065 Vilafranca de Bonany;fallecidos por el lugar de residencia;24
07065 Vilafranca de Bonany;crecimiento vegetativo;25
